State,Year,Cancer_Type,Age_Group,Gender,Population,People_Screened,Smoking_Percent,Pollution_Index,New_Cases,Deaths,Recovered,Incidence_per_100k,Mortality_per_100k,Avg_Treatment_Cost_INR,Available_Hospital_Beds
West Bengal,2024,Cervical,60-74,Male,2791430,147449,33.78,138.5,46,16,27,1.648,0.573,430963,2944
Uttar Pradesh,2010,Breast,60-74,Female,4155479,46507,12.02,168.8,70,40,41,1.685,0.963,284572,3302
Gujarat,2011,Stomach,45-59,Male,3700993,83508,30.24,45.8,60,25,,1.621,0.675,43012,4557
Andhra Pradesh,2024,Colorectal,75+,Female,806330,77496,17.1,159.2,8,2,3,0.992,0.248,355672,1379
Andhra Pradesh,2012,Lung,15-29,Female,1127628,33629,18.71,105.2,18,10,9,,0.887,,
Telangana,2013,Oral,0-14,Male,2843174,81137,8.33,233.8,42,19,,1.477,0.668,,3964
Rajasthan,2014,Oral,15-29,Female,2583309,46072,17.4,162,39,9,19,1.51,0.348,455619,4047
Haryana,2013,Colorectal,75+,Male,2073185,54108,14.25,126.4,35,7,19,1.688,0.338,152415,4486
Uttar Pradesh,2017,Breast,0-14,Female,2384584,49600,14.63,116.2,40,9,14,1.677,0.377,368712,4009
Tamil Nadu,2022,Ovarian,30-44,Female,4523793,169071,20.39,108.7,72,41,31,1.592,0.906,28209,4896
Bihar,2011,Cervical,75+,Male,5012402,31510,18.97,171.5,82,27,43,1.636,0.539,464043,2190
Telangana,2020,Oral,75+,Male,4420314,180387,29.03,262.4,72,29,37,1.629,0.656,299140,4471
Assam,2018,Ovarian,30-44,Female,5458881,176497,25.38,136.7,84,47,52,1.539,,147266,3415
Jharkhand,2017,Stomach,15-29,Female,3978714,66730,40.51,215,65,35,,1.634,,300419,3801
Chhattisgarh,2022,Liver,75+,Female,3579492,122047,18.54,143.4,64,30,42,1.788,0.838,184972,2671
Karnataka,2015,Prostate,60-74,Female,1313648,,24.83,123.8,30,14,14,2.284,1.066,,4295
Punjab,2017,Lung,30-44,Male,2283250,51791,6.17,198.1,37,16,12,1.62,0.701,211360,3925
Jharkhand,2013,Prostate,75+,Female,3142806,94518,31.45,33.7,59,,36,1.877,0.732,321533,4600
Jharkhand,2015,Breast,0-14,Male,2518316,111035,,86.2,31,,13,1.231,0.516,442333,2624
Kerala,2011,Stomach,45-59,Male,2420006,119628,6.73,104.5,43,17,29,1.777,0.702,292549,4997
Delhi,2012,Breast,30-44,Female,756986,79190,,89.5,14,8,7,1.849,1.057,406895,3228
Odisha,2025,Stomach,45-59,Male,6552639,21550,27.55,57.1,111,71,58,1.694,1.084,402087,
Himachal Pradesh,2025,Breast,60-74,Male,858489,41222,,169.5,10,,,1.165,0.349,335932,4954
Odisha,2021,Prostate,15-29,Female,7739805,163508,35.5,250.4,124,62,71,1.602,0.801,29413,1524
Maharashtra,2013,Lung,45-59,Female,2010601,82075,9.96,,31,14,12,1.542,0.696,33805,844
Odisha,2021,Prostate,60-74,Female,6263367,167014,,20.3,119,57,51,1.9,0.91,336621,4345
Gujarat,2023,Leukemia,30-44,Male,6095168,45990,39.29,27.5,119,72,64,1.952,1.181,,4371
Chhattisgarh,2022,Colorectal,0-14,Female,2545044,199809,23.64,201.5,38,15,15,1.493,0.589,375812,4546
Maharashtra,2024,Liver,45-59,Male,4332881,,9.7,104.3,62,29,27,1.431,0.669,241364,3611
Kerala,2024,Colorectal,15-29,Female,3694581,87024,33.91,43.6,50,20,,,0.541,48094,2545
West Bengal,2014,Liver,45-59,Female,3460770,169341,27.49,140.8,54,,16,,0.578,73606,2906
Karnataka,2025,Stomach,75+,Male,4606432,149895,35.96,,60,20,41,1.303,0.434,292376,2211
Kerala,2010,Prostate,45-59,Male,3465293,,37.95,138.5,59,22,28,1.703,0.635,60994,4168
Kerala,2023,Prostate,75+,Female,4811876,,19.47,,80,50,50,1.663,1.039,440761,3477
